word,translation,transcription,topic
apple, яблоко, ˈæpl, Еда и напитки
bread, хлеб, brɛd, Еда и напитки
milk, молоко, mɪlk, Еда и напитки
cheese, сыр, tʃiːz, Еда и напитки
chicken, курица, ˈtʃɪkɪn, Еда и напитки
coffee, кофе, ˈkɒfi, Еда и напитки
tea, чай, tiː, Еда и напитки
water, вода, ˈwɔːtə, Еда и напитки
juice, сок, dʒuːs, Еда и напитки
egg, яйцо, ɛɡ, Еда и напитки
cake, торт, keɪk, Еда и напитки
banana, банан, bəˈnɑːnə, Еда и напитки
meat, мясо, miːt, Еда и напитки
fish, рыба, fɪʃ, Еда и напитки
soup, суп, suːp, Еда и напитки
butter, масло, ˈbʌtə, Еда и напитки
sugar, сахар, ˈʃʊɡə, Еда и напитки
salt, соль, sɒlt, Еда и напитки
rice, рис, raɪs, Еда и напитки
pasta, паста, ˈpæstə, Еда и напитки
car, машина, kɑː, Путешествия и транспорт
train, поезд, treɪn, Путешествия и транспорт
plane, самолет, pleɪn, Путешествия и транспорт
bus, автобус, bʌs, Путешествия и транспорт
ship, корабль, ʃɪp, Путешествия и транспорт
bike, велосипед, baɪk, Путешествия и транспорт
taxi, такси, ˈtæksi, Путешествия и транспорт
station, станция, ˈsteɪʃən, Путешествия и транспорт
ticket, билет, ˈtɪkɪt, Путешествия и транспорт
luggage, багаж, ˈlʌɡɪdʒ, Путешествия и транспорт
passport, паспорт, ˈpɑːspɔːt, Путешествия и транспорт
journey, путешествие, ˈdʒɜːni, Путешествия и транспорт
trip, поездка, trɪp, Путешествия и транспорт
flight, рейс, flaɪt, Путешествия и транспорт
bridge, мост, brɪdʒ, Путешествия и транспорт
airport, аэропорт, ˈeəpɔːt, Путешествия и транспорт
road, дорога, rəʊd, Путешествия и транспорт
highway, шоссе, ˈhaɪweɪ, Путешествия и транспорт
ferry, паром, ˈfɛri, Путешествия и транспорт
subway, метро, ˈsʌbweɪ, Путешествия и транспорт
computer, компьютер, kəmˈpjuːtə, Технологии
internet, интернет, ˈɪntənɛt, Технологии
software, программное обеспечение, ˈsɒftweə, Технологии
hardware, аппаратное обеспечение, ˈhɑːdweə, Технологии
keyboard, клавиатура, ˈkiːbɔːd, Технологии
mouse, мышь, maʊs, Технологии
screen, экран, skriːn, Технологии
printer, принтер, ˈprɪntə, Технологии
